source,target
"3.9.2: Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",Toilet facilty sharing (WIS)
"3.9.2: Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",Number of households that share a toilet facility (WIS)
"6.2.1: Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Number of households that share a toilet facility (WIS)
"3.9.2: Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",Number of people regularly using the bush / field at home or at work (WIS)
6.a.1: Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,Number of people regularly using the bush / field at home or at work (WIS)
"12.4.1: Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",Number of people regularly using the bush / field at home or at work (WIS)
6.b.1: Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Number of people regularly using the bush / field at home or at work (WIS)
15.1.1: Forest area as a proportion of total land area,Number of people regularly using the bush / field at home or at work (WIS)
"4.2.1: Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex",Disposal of under-5 children's fecal waste (WIS)
"4.3.1: Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Disposal of under-5 children's fecal waste (WIS)
"11.c.1: Proportion of financial support to the least developed countries that is allocated to the construction and retrofitting of sustainable, resilient and resource-efficient buildings utilizing local materials",Period of water source construction(UWASA)
"17.7.1: Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",Source of funding for the water source(UWASA)
6.5.1: Degree of integrated water resources management implementation (0-100),Source of funding for the water source(UWASA)
6.a.1: Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,Source of funding for the water source(UWASA)
6.b.1: Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Ownership of watersource(UWASA)
6.a.1: Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,Ownership of watersource(UWASA)
6.1.1: Proportion of population using safely managed drinking water services,Number of users of watersource(UWASA)
"6.2.1: Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",Number of users of watersource(UWASA)
