Recipient Organization,deliverychannel,,
Bangladesh Rural Advancement Committee,NGOs and CSOs,,
Bank of America Corporation,Other,,
Bank of Palestine,Other,,
Bank of West,Other,,
BAPPENAS - Indonesia National Development Planning Agency,Public sector,,
Baptist Aotearoa NZ Aid,NGOs and CSOs,,
Baptist World Aid,NGOs and CSOs,,
Bär + Leu,Other,,
Barbados,Public sector,,
Barbados Red Cross,Red Cross,,
Barbados Red Cross Society,Red Cross,,
Barclay's Foundation,NGOs and CSOs,,
Barclays Ghana,Other,,
Barneombudet,NGOs and CSOs,,
BASF,Other,,
Bashaer,Other,,
Basic Education and Employable Skill Training,Other,,
Basic Needs,Other,,
Baxter InterNational Foundation,NGOs and CSOs,,
Bayer,Other,,
BBC World Service Trust,NGOs and CSOs,,
BCIE,Other,,
BD,Other,,
BDC Anglican,Other,,
BDCD,Other,,
BDD BUKAVU,Other,,
BDD Kasongo,Other,,
Beaconhouse,Other,,
Bearing Point,Other,,
Bechtel,Other,,
"Becton, Dickson and Company",Other,,
Bel Avenir,Other,,
Belarus,Public sector,,
Belarus Red Cross,Red Cross,,
Belarusian Red Cross,Red Cross,,
Belgian Air Force,Public sector,,
Belgian First Aid and Support Team,Public sector,,
Belgian Red Cross,Red Cross,,
Belgium,Public sector,,
Belgium Red Cross,Red Cross,,
Belize,Public sector,,
Belize Red Cross,Red Cross,,
Belize Red Cross Society,Red Cross,,
Belun,Other,,
Benfica Foundation,NGOs and CSOs,,
Benin,Public sector,,
Benposta Nación de Muchachos,NGOs and CSOs,,
BEPROD,Other,,
Berkat,NGOs and CSOs,,
Bernard van Leer Foundation,NGOs and CSOs,,
Berne helps Lviv,Other,,
Berne University,NGOs and CSOs,,
Bertelsmann AG,Other,,
Best Buy Children's Foundation,NGOs and CSOs,,
"Best Buy Co., Inc. ",Other,,
BGR - German Federal Institute for Geosciences and Natural Resources ,NGOs and CSOs,,
BHN Association -Telecom for Basic Human Needs,NGOs and CSOs,,
Bhutan,Public sector,,
BID,Other,,
Bidan Kesehatan Department of Health Indonesia,Public sector,,
Bienvenu Refugee Shelter,NGOs and CSOs,,
BIJOU Trust,Other,,
Bilateral (to affected government),Public sector,,
Bilkent Holding,Other,,
Bill and Melinda Gates Foundation,NGOs and CSOs,,
Bill Emerson Humanitarian Trust,Other,,
Bioforce,Other,,
Biogen Idec,Other,,
Biomet Inc.,Other,,
Birdlife InterNational,Other,,
Bjerknes Centre for Climate Research,NGOs and CSOs,,
blank,Other,,
BLD - Barne- og likestillingsdepartementet,Public sector,,
Blés du désert,NGOs and CSOs,,
Bloomberg,Other,,
"Blue Cross and Blue Shield of Minnesota Foundation, Inc.",NGOs and CSOs,,
BLU-MED Response Systems ,Other,,
BMaA,Other,,
BMI,Other,,
BMO Financial Group,Other,,
BMVg,Public sector,,
BMW Group,Other,,
BNPP,Other,,
Boeing Company,Other,,
BOLHISPANIA,Other,,
Bolivia,Public sector,,
Bolivia Red Cross,Red Cross,,
Bolivian Red Cross,Red Cross,,
Booz Allen Hamilton,Other,,
BorgWarner,Other,,
Bosnia & Herzegovina,Public sector,,
Bosnian Red Crescent Society,Red Cross,,
Boston Archiepiscopal Diocese,Other,,
Boston Foundation,NGOs and CSOs,,
Boston Foundation (Ansara Family Fund),NGOs and CSOs,,
Botswana,Public sector,,
Botswana Red Cross,Red Cross,,
Botswana Red Cross Society,Red Cross,,
BP Foundation,NGOs and CSOs,,
BRASCRI ,NGOs and CSOs,,
Brazil,Public sector,,
Brazil Red Cross,Red Cross,,
Brazilian Red Cross,Red Cross,,
Bread for the World,NGOs and CSOs,,
Bridderlech Deelen,Other,,
Bridgestone Group,Other,,
Bright Future Organization,NGOs and CSOs,,
Bristol-Myers Squibb,Other,,
British Agencies Afghanistan Group,Other,,
British Airways,Other,,
British Council,NGOs and CSOs,,
British Embassy in Khartoum (Sudan),Public sector,,
BRITISH ORG. FOR MEDICAL AND SCIENTIFIC ASSISTANCE,Other,,
British Red Cross,Red Cross,,
British Red Cross Society,Red Cross,,
British Virgin Islands,Public sector,,
Broadcasting Board of Governors,Other,,
Brookings Institute,NGOs and CSOs,,
Brother Industries Ltd.,Other,,
Brotherhood Association humanity of Human Rights,Other,,
Brother's Brother Foundation,NGOs and CSOs,,
Brunei Darussalam,Public sector,,
BTC,Other,,
B'Tselem - the Israeli Information Center for Human Rights in the Occupied Territories,NGOs and CSOs,,
BUCO - Bureau de la Coopération Suisse,Public sector,,
BUCO - CRONGD,Public sector,,
Buco Cotonou,Public sector,,
Buddhist Compassion Relief Tzu Chi Foundation,NGOs and CSOs,,
Buddist Committee of Concord Nation,Other,,
Build Change,NGOs and CSOs,,
Build-A-Bear Workshop Foundation,NGOs and CSOs,,
BUKKEHAVE,Other,,
Bulay Development Organization,NGOs and CSOs,,
Bulgaria,Public sector,,
Bulgaria Red Cross,Red Cross,,
Bulgarian Red Cross,Red Cross,,
Bundesamt für Migration,Other,,
Bundesanstalt für Materialforschung und - prüfung,Other,,
Bundesanstalt Technisches Hilfswerk,Public sector,,
Bundesministerium der Verteidigung,Public sector,,
Bureau des Nations Unies en Centrafrique (United Nations Peace-Building Support Office in CAR),Multilateral,,
Bureau des œuvres médicales diocésaines (BDOM),Other,,
Bureau Diocésain de Développement de Kindu (BDD/KINDU),NGOs and CSOs,,
Bureau InterNational Catholique de l'Enfance,Other,,
Burger King,Other,,
Burkina Faso,Public sector,,
Burkina Faso Red Cross,Red Cross,,
Burkinabe Red Cross Society,Red Cross,,
Burma Austria Allianz,Other,,
Burnet Institute,NGOs and CSOs,,
Burton D. Morgan Foundation,NGOs and CSOs,,
Burundi,Public sector,,
Burundi Red Cross,Red Cross,,
Burundikids e.V.,NGOs and CSOs,,
Business & Human Rights Resource Centre,NGOs and CSOs,,
Business and Professional Women Organization,Multilateral,,
Business Roundtable,Other,,
Butterfly Onlus Foundation,NGOs and CSOs,,
Buuck Family Foundation,NGOs and CSOs,,
BWG/Changjang Water Resources Commission,Public sector,,
C & S Wholesale Grocers,Other,,
CAII - Creative Associates InterNational,Other,,
California Endowment,Other,,
Cambodia,Public sector,,
Cambodia Red Cross,Red Cross,,
Cambodian Mine Action Centre,NGOs and CSOs,,
Cambodian Red Cross,Red Cross,,
Cameroon,Public sector,,
Cameroun,Public sector,,
Camp Dresser and McKee Incorporated,Other,,
Campagne Suisse Contre les Mines Antipersonnel,NGOs and CSOs,,
Campana Colombiana Contra Minas,Other,,
Campbell Soup CO,Other,,
CAMPS/CELPA,NGOs and CSOs,,
CAN FOUNDATION ,NGOs and CSOs,,
Canada,Public sector,,
Canada InterNational Demining Corps,NGOs and CSOs,,
Canada Safeway Foundation,NGOs and CSOs,,
CANADEM,NGOs and CSOs,,
Canadian Baptist Ministries,Other,,
Canadian Catholic Organization for Development and Peace,NGOs and CSOs,,
Canadian Coalition,NGOs and CSOs,,
Canadian Development and Peace,NGOs and CSOs,,
Canadian Food for the Hungry InterNational,NGOs and CSOs,,
Canadian Food Grains Bank,NGOs and CSOs,,
Canadian Funds for Local Initiatives,Public sector,,
Canadian Healthcare Association,Other,,
Canadian InterNational Development Agency/InterNational Humanitarian Assistance,Public sector,,
Canadian Journalist/Free Expr,NGOs and CSOs,,
Canadian Journalists Free Expression,NGOs and CSOs,,
Canadian Journalists Free Expression ,NGOs and CSOs,,
Canadian National Railway Company,Other,,
Canadian Physicians for Aid and Relief,NGOs and CSOs,,
Canadian Red Cross Society,Red Cross,,
Canadian Relief Foundation,NGOs and CSOs,,
Candle Light,NGOs and CSOs,,
Canon Group,Other,,
Cape Verde Red Cross,Red Cross,,
CARAES,NGOs and CSOs,,
"Cardinal Health, Inc.  ",Other,,
CARE and SC/US,NGOs and CSOs,,
CARE Australia,NGOs and CSOs,,
CARE Austria,NGOs and CSOs,,
CARE Canada,NGOs and CSOs,,
Care Czech Republic,NGOs and CSOs,,
CARE France,NGOs and CSOs,,
Care Germany,NGOs and CSOs,,
CARE InterNational,NGOs and CSOs,,
CARE InterNational Switzerland in Sudan,NGOs and CSOs,,
CARE Kenya,NGOs and CSOs,,
CARE Myanmar,NGOs and CSOs,,
CARE Nepal,NGOs and CSOs,,
CARE Netherlands,NGOs and CSOs,,
CARE Norway,NGOs and CSOs,,
Care Peru,NGOs and CSOs,,
CARE Somalia,NGOs and CSOs,,
Care Sudan,NGOs and CSOs,,
CARE USA,NGOs and CSOs,,
CareFusion Corporation,NGOs and CSOs,,
CareSource Foundation,NGOs and CSOs,,
Carestream Health,Other,,
CARE-UK,NGOs and CSOs,,
Cargill,Other,,
Caribbean Development Bank,Multilateral,,
Caribbean Disaster Emergency Response Agency,Multilateral,,
CARICOM Regional Development Programme,Multilateral,,
CARITAS,NGOs and CSOs,,
CARITAS / Catholic Relief Services,NGOs and CSOs,,
CARITAS Allemagne (DCV),NGOs and CSOs,,
Caritas Australia,NGOs and CSOs,,
Caritas Austria,NGOs and CSOs,,
CARITAS BUKAVU,NGOs and CSOs,,
CARITAS BUNIA,NGOs and CSOs,,
CARITAS BUTEMBO,NGOs and CSOs,,
Caritas Congo,NGOs and CSOs,,
Caritas Czech Republic,NGOs and CSOs,,
Caritas Denmark,NGOs and CSOs,,
CARITAS DEV GOMA,NGOs and CSOs,,
Caritas Dev Kalemie,NGOs and CSOs,,
Caritas Développement,NGOs and CSOs,,
Caritas Développement DRC,NGOs and CSOs,,
CARITAS DUNGU,NGOs and CSOs,,
Caritas France,NGOs and CSOs,,
Caritas Germany,NGOs and CSOs,,
Caritas Germany (DCV),NGOs and CSOs,,
Caritas Haiti,NGOs and CSOs,,
Caritas Hong kong,NGOs and CSOs,,
Caritas Hungary,NGOs and CSOs,,
Caritas India,NGOs and CSOs,,
CARITAS InterNationalIS,NGOs and CSOs,,
Caritas Jerusalem,NGOs and CSOs,,
Caritas Kananga,NGOs and CSOs,,
Caritas Katanga,NGOs and CSOs,,
CARITAS KINDU,NGOs and CSOs,,
Caritas Lebanon Migrants Center,NGOs and CSOs,,
Caritas Manila,NGOs and CSOs,,
CARITAS Mbandaka,NGOs and CSOs,,
CARITAS MBUJIMAYI,NGOs and CSOs,,
Caritas New Zealand,NGOs and CSOs,,
Caritas Norway,NGOs and CSOs,,
Caritas Peru,NGOs and CSOs,,
Caritas Spain,NGOs and CSOs,,
Caritas Sweden,NGOs and CSOs,,
Caritas Switzerland,NGOs and CSOs,,
CARITAS TCHUMBE,NGOs and CSOs,,
CARITAS UVIRA,NGOs and CSOs,,
Caritas/MCC,NGOs and CSOs,,
Carl Duisberg Gesellschaft,NGOs and CSOs,,
Carlson Wagonlit Travel Beheermaatschappij,Other,,
Carnegie Corporation of New York,NGOs and CSOs,,
Carnival Corporations,Other,,
Carry-over (donors not specified),Other,,
Casals and Associates,Other,,
Cascos Blancos - Argentina,Public sector,,
Casio,Other,,
Catalan Agency for Development Cooperation,Public sector,,
"Caterpillar, Inc.",Other,,
Catholic Agency for Overseas Development,NGOs and CSOs,,
Catholic Church of Khartoum,Other,,
"Catholic Church, Germany",Other,,
Catholic Commisssion for Justice and Peace,NGOs and CSOs,,
Catholic Development Commission,NGOs and CSOs,,
Catholic Diocese of Erie,Other,,
Catholic Diocese of Kericho,Other,,
Catholic Diocese of Nakuru,Other,,
Catholic Diocese of Torit,Other,,
Catholic Medical Missons Board,NGOs and CSOs,,
Catholic Migration Commission,NGOs and CSOs,,
Catholic Mission,Other,,
Catholic Organisation for Relief and Development Aid,NGOs and CSOs,,
Catholic Peace Movement,NGOs and CSOs,,
Catholic Priest Association for Justice,Other,,
Catholic Relief Services,NGOs and CSOs,,
Caucasus Environmental NGO Network,NGOs and CSOs,,
Caucasus Environmental NGO Network ,NGOs and CSOs,,
CAUSE Canada,NGOs and CSOs,,
Cavish Development Foundation,NGOs and CSOs,,
CCD,NGOs and CSOs,,
Cchin HR Organization,Other,,
CCI Coin Co. InterNational,Other,,
CDA Collaborative Learning Projects. Inc.,NGOs and CSOs,,
CDE - University Berne,NGOs and CSOs,,
CE & S,Other,,
Cedar Fund,Other,,
CEDI,NGOs and CSOs,,
CEFA,Other,,
Ceilu,Other,,
CEMUBAC (Belgian medical NGO),NGOs and CSOs,,
Centarl Regions Livestock Professional Association,Other,,
Center for  Civil Military Relations,NGOs and CSOs,,
Center for Citizenship Education,NGOs and CSOs,,
Center for Culture and Development,NGOs and CSOs,,
Center for Defending Freedom of Journalists,Other,,
Center for Disease Control and Prevention,NGOs and CSOs,,
Center for Human Rights and Democratic Participation,NGOs and CSOs,,
Center for Humanitarian Services,Other,,
Center for International Studies and Cooperation,NGOs and CSOs,,
CENTER FOR JUSTICE AND INT. LAW,NGOs and CSOs,,
Center for Peace and Democracy,NGOs and CSOs,,
Center for Research on the Epidemiology of Disasters,NGOs and CSOs,,
Center for the Defence of the Individual,NGOs and CSOs,,
Center for Victims of Torture,NGOs and CSOs,,
Center of Excellence for Rural Development,NGOs and CSOs,,
Central African Red Cross,Red Cross,,
Central African Red Cross Society,Red Cross,,
Central African Republic,Public sector,,
"Central Asian Free Exchange, USA",NGOs and CSOs,,
Central Community Chest of Japan,Other,,
Central Ecuatoriana de Servicios Agricolas,NGOs and CSOs,,
Central Emergency Response Fund,Multilateral,,
Central Minnesota Community Foundation ,NGOs and CSOs,,
Central Social,Other,,
Centre canadien d'étude et de coopération InterNationale (CECI),NGOs and CSOs,,
Centre d'action pour le dévéloppement,NGOs and CSOs,,
Centre d'Alerte et de Prevention des Conflits,Other,,
Centre De Crise,NGOs and CSOs,,
Centre de Développement Intégral (CDI/Yakoma),NGOs and CSOs,,
Centre de Promotion Socio-Sanitaire,NGOs and CSOs,,
"Centre de Recherche en Astronomie, Astrophysique et Geophysique",NGOs and CSOs,,
Centre de Recherche et d'Appui aux Initiatives de Développement Intégré,NGOs and CSOs,,
Centre de Recherche Santé,NGOs and CSOs,,
Centre de Réflexion Europe Afrique ,NGOs and CSOs,,
Centre d'Enseignement et de Recherche en Action Humanitaire,NGOs and CSOs,,
Centre for Civil and Political Rights,NGOs and CSOs,,
Centre for Common Ground in Angola (CCG),NGOs and CSOs,,
CENTRE FOR DEFENDING FREEDOM OF JOURNALISTS - CDFJ,NGOs and CSOs,,
Centre for Humanitarian Dialogue,Other,,
Centre for InteNational Political Studies,NGOs and CSOs,,
Centre for InterNational Political Studies,NGOs and CSOs,,
Centre for InterNational Studies and Cooperation ,NGOs and CSOs,,
Centre for Peacekeeping and Community Development,NGOs and CSOs,,
Centre for Research on the Epidemiology of Disasters,NGOs and CSOs,,
Centre for Safety and Development,NGOs and CSOs,,
Centre for the Coordination of Natural Disaster Prevention in Central America,Public sector,,
Centre palestinien des droits de l'homme,NGOs and CSOs,,
Centre pour enfants des rues de Bel-Air,Other,,
Centre pour la Promotion de la Sante,NGOs and CSOs,,
Centre spécialisé d'appui à la promotion et à la modernisation de l'élévage,Other,,
Centro d'Informazione e Educazione allo Sviluppo,NGOs and CSOs,,
Centro Integral de Rehabilitación de Colombia,Other,,
Centrum voor Afrikaanse Cultuur,NGOs and CSOs,,
CESADEMA,Other,,
CEVA Logistics,Other,,
CFD,Other,,
CHA - Coordination of Humanitarian Assistance,NGOs and CSOs,,
Chad ,Public sector,,
Chad Red Cross,Red Cross,,
Chadbourne & Parke LLP,Other,,
Chaine du Bonheur,NGOs and CSOs,,
Chaîne du Bonheur,Other,,
CHAINES,Other,,
Chapman Freeborn Airchartering,Other,,
Charitable Development Association,NGOs and CSOs,,
Charitable Society for Caring and Rehabilitation Iraqi Children,NGOs and CSOs,,
Charitable Society for Social Welfare,NGOs and CSOs,,
Charities Aid Foundation,NGOs and CSOs,,
Charity Palestinian NGO,NGOs and CSOs,,
Charles Schwab ,Other,,
Charles Schwab Foundation,NGOs and CSOs,,
Chars Livelihoods Programme,Public sector,,
CHASE OT,Other,,
Checci & Company,Other,,
Chemonics InterNational Inc.,Other,,
Chevron Corporation,Other,,
Chevron Texaco,Other,,
CHF - ERF funds transfer,Multilateral,,
CHF InterNational,NGOs and CSOs,,
CHF Sudan/South Sudan Funding,Multilateral,,
Child Advocacy InterNational,NGOs and CSOs,,
Child Care Society,NGOs and CSOs,,
Child Development Foundation,NGOs and CSOs,,
Child Rights Information Network,NGOs and CSOs,,
ChildFund InterNational,NGOs and CSOs,,
ChildFund Ireland,NGOs and CSOs,,
Children Assistance Programme ,NGOs and CSOs,,
Children InterNational,NGOs and CSOs,,
Children of Peru Foundation (New York),NGOs and CSOs,,
Children without Borders,NGOs and CSOs,,
Children's Aid Direct,NGOs and CSOs,,
Children's Fund of North Ossetia,NGOs and CSOs,,
"Children's Global Network, Pakistan (Guarantee) Limited",Other,,
Children's Home Society of Minnesota,NGOs and CSOs,,
Children's Investment Fund Foundation,NGOs and CSOs,,
Children's Relief,NGOs and CSOs,,
Child's Earth Society in Iraq,NGOs and CSOs,,
Chile,Public sector,,
Chile Red Cross,Red Cross,,
Chilean Red Cross,Red Cross,,
China,Public sector,,
China Association for NGO Cooperation,Other,,
China Centre for Disease Control and  Asia-Australia Mental Health,Other,,
China Foundation for Poverty Alleviation,NGOs and CSOs,,
China Red Cross Society,Red Cross,,
Chinese Community in Peru,Other,,
"CHMI, CTU/EPFL (Czech Hydrometeorological Institute)",Public sector,,
CHORA,Other,,
Chreso Ministries,Other,,
Chrétiens pour le Sahel,NGOs and CSOs,,
Christian Aid,NGOs and CSOs,,
Christian Aid Ministries Nehemia,Other,,
Christian Aid-UK,NGOs and CSOs,,
Christian Blind Mission,NGOs and CSOs,,
Christian Care,NGOs and CSOs,,
Christian Children's Fund ,NGOs and CSOs,,
Christian Children's Fund  / Adventis Development And Relief Agency,NGOs and CSOs,,
"Christian Children's Fund, USA",NGOs and CSOs,,
Christian Commission for Development in Bangladesh,NGOs and CSOs,,
Christian Friends of Korea,NGOs and CSOs,,
Christian Mission Aid,NGOs and CSOs,,
Christian Mission for Development,NGOs and CSOs,,
Christian Outreach Relief and Development,NGOs and CSOs,,
Christian Peacemaker Teams,Other,,
Christian Recovery and Development Agency,NGOs and CSOs,,
Christian Reformed World Relief Committee,NGOs and CSOs,,
Christian Relief Network,NGOs and CSOs,,
Christian Solidarity International,NGOs and CSOs,,
Christoffel-Blindenmission,NGOs and CSOs,,
Christusträger Bruderschaft,Other,,
Chrysler Foundation,NGOs and CSOs,,
Chubb Corporation,Other,,
"Chung Te Buddhist Association of NY, Inc.",Other,,
Church of Jesus Christ (Johannesburg),Other,,
Church of Sweden,Other,,
Church of the Latter Day Saints,Other,,
Church of the Living God InterNational,Other,,
Church Women Solidarity for Supporting North Korea Children,Other,,
Church World Service,NGOs and CSOs,,
CIAA,Other,,
CICERO,Other,,
CIGNA,Other,,
CIMIR- Fred Polk,Other,,
CINS -  Cooperazione Italiana Nord Sud,NGOs and CSOs,,
Circassian Charity Association,NGOs and CSOs,,
CISANET/CSCQBE/MEJN,NGOs and CSOs,,
Cisco Foundation,NGOs and CSOs,,
Citi,Other,,
Citigroup,Other,,
CitiHope InterNational,NGOs and CSOs,,
Citizen's Commission for Human Development,NGOs and CSOs,,
"Citizens' Disaster Response Center, Inc",NGOs and CSOs,,
Citizens Network for Foreign Affairs,NGOs and CSOs,,
City of Ingolstadt,Public sector,,
City of Konstanz,Public sector,,
City of Munich (Germany),Public sector,,
Civi Development Organization,NGOs and CSOs,,
CIVIC,Other,,
CIVIC (Valid until August 2012),Other,,
Civic Assistance Committee,NGOs and CSOs,,
Clear Path International,NGOs and CSOs,,
