Recipient Organization,recipientcodename,
Bundesamt für Migration,private individual organisations,
Bundesanstalt für Materialforschung und - prüfung,private sector corporations,
Bundesanstalt Technisches Hilfswerk,DAC governments,
Bundesministerium der Verteidigung,DAC governments,
Bureau des Nations Unies en Centrafrique (United Nations Peace-Building Support Office in CAR),UN Multi,
Bureau des œuvres médicales diocésaines (BDOM),private individual organisations,
Bureau Diocésain de Développement de Kindu (BDD/KINDU),NGOs,
Bureau InterNational Catholique de l'Enfance,private individual organisations,
Burger King,private sector corporations,
Burkina Faso,National government,
Burkina Faso Red Cross,red cross,
Burkinabe Red Cross Society,red cross,
Burma Austria Allianz,private sector corporations,
Burnet Institute,academia/think/research,
Burton D. Morgan Foundation,foundations,
Burundi,National government,
Burundi Red Cross,red cross,
Burundikids e.V.,NGOs,
Business & Human Rights Resource Centre,NGOs,
Business and Professional Women Organization,Other multi,
Business Roundtable,private sector corporations,
Butterfly Onlus Foundation,foundations,
Buuck Family Foundation,foundations,
BWG/Changjang Water Resources Commission,DAC governments,
C & S Wholesale Grocers,private sector corporations,
CAII - Creative Associates InterNational,private sector corporations,
California Endowment,private sector corporations,
Cambodia,National government,
Cambodia Red Cross,red cross,
Cambodian Mine Action Centre,NGOs,
Cambodian Red Cross,red cross,
Cameroon,National government,
Cameroun,National government,
Camp Dresser and McKee Incorporated,private sector corporations,
Campagne Suisse Contre les Mines Antipersonnel,NGOs,
Campana Colombiana Contra Minas,other,
Campbell Soup CO,private sector corporations,
CAMPS/CELPA,NGOs,
CAN FOUNDATION ,foundations,
Canada,DAC governments,
Canada InterNational Demining Corps,NGOs,
Canada Safeway Foundation,foundations,
CANADEM,NGOs,
Canadian Baptist Ministries,private individual organisations,
Canadian Catholic Organization for Development and Peace,NGOs,
Canadian Coalition,NGOs,
Canadian Development and Peace,NGOs,
Canadian Food for the Hungry InterNational,NGOs,
Canadian Food Grains Bank,NGOs,
Canadian Funds for Local Initiatives,DAC governments,
Canadian Healthcare Association,private individual organisations,
Canadian InterNational Development Agency/InterNational Humanitarian Assistance,DAC governments,
Canadian Journalist/Free Expr,NGOs,
Canadian Journalists Free Expression,NGOs,
Canadian Journalists Free Expression ,NGOs,
Canadian National Railway Company,private sector corporations,
Canadian Physicians for Aid and Relief,NGOs,
Canadian Red Cross Society,red cross,
Canadian Relief Foundation,foundations,
Candle Light,NGOs,
Canon Group,private sector corporations,
Cape Verde Red Cross,red cross,
CARAES,NGOs,
"Cardinal Health, Inc.  ",private individual organisations,
CARE and SC/US,NGOs,
CARE Australia,NGOs,
CARE Austria,NGOs,
CARE Canada,NGOs,
Care Czech Republic,NGOs,
CARE France,NGOs,
Care Germany,NGOs,
CARE InterNational,NGOs,
CARE InterNational Switzerland in Sudan,NGOs,
CARE Kenya,NGOs,
CARE Myanmar,NGOs,
CARE Nepal,NGOs,
CARE Netherlands,NGOs,
CARE Norway,NGOs,
Care Peru,NGOs,
CARE Somalia,NGOs,
Care Sudan,NGOs,
CARE USA,NGOs,
CareFusion Corporation,NGOs,
CareSource Foundation,foundations,
Carestream Health,private sector corporations,
CARE-UK,NGOs,
Cargill,private sector corporations,
Caribbean Development Bank,Other multi,
Caribbean Disaster Emergency Response Agency,Other multi,
CARICOM Regional Development Programme,Other multi,
CARITAS,NGOs,
CARITAS / Catholic Relief Services,NGOs,
CARITAS Allemagne (DCV),NGOs,
Caritas Australia,NGOs,
Caritas Austria,NGOs,
CARITAS BUKAVU,NGOs,
CARITAS BUNIA,NGOs,
CARITAS BUTEMBO,NGOs,
Caritas Congo,NGOs,
Caritas Czech Republic,NGOs,
Caritas Denmark,NGOs,
CARITAS DEV GOMA,NGOs,
Caritas Dev Kalemie,NGOs,
Caritas Développement,NGOs,
Caritas Développement DRC,NGOs,
CARITAS DUNGU,NGOs,
Caritas France,NGOs,
Caritas Germany,NGOs,
Caritas Germany (DCV),NGOs,
Caritas Haiti,NGOs,
Caritas Hong kong,NGOs,
Caritas Hungary,NGOs,
Caritas India,NGOs,
CARITAS InterNationalIS,NGOs,
Caritas Jerusalem,NGOs,
Caritas Kananga,NGOs,
Caritas Katanga,NGOs,
CARITAS KINDU,NGOs,
Caritas Lebanon Migrants Center,NGOs,
Caritas Manila,NGOs,
CARITAS Mbandaka,NGOs,
CARITAS MBUJIMAYI,NGOs,
Caritas New Zealand,NGOs,
Caritas Norway,NGOs,
Caritas Peru,NGOs,
Caritas Spain,NGOs,
Caritas Sweden,NGOs,
Caritas Switzerland,NGOs,
CARITAS TCHUMBE,NGOs,
CARITAS UVIRA,NGOs,
Caritas/MCC,NGOs,
Carl Duisberg Gesellschaft,academia/think/research,
Carlson Wagonlit Travel Beheermaatschappij,private sector corporations,
Carnegie Corporation of New York,foundations,
Carnival Corporations,private sector corporations,
Carry-over (donors not specified),other,
Casals and Associates,private sector corporations,
Cascos Blancos - Argentina,National government,
Casio,private sector corporations,
Catalan Agency for Development Cooperation,DAC governments,
"Caterpillar, Inc.",private sector corporations,
Catholic Agency for Overseas Development,NGOs,
Catholic Church of Khartoum,private individual organisations,
"Catholic Church, Germany",private individual organisations,
Catholic Commisssion for Justice and Peace,NGOs,
Catholic Development Commission,NGOs,
Catholic Diocese of Erie,private individual organisations,
Catholic Diocese of Kericho,private individual organisations,
Catholic Diocese of Nakuru,private individual organisations,
Catholic Diocese of Torit,private individual organisations,
Catholic Medical Missons Board,NGOs,
Catholic Migration Commission,NGOs,
Catholic Mission,private individual organisations,
Catholic Organisation for Relief and Development Aid,NGOs,
Catholic Peace Movement,NGOs,
Catholic Priest Association for Justice,private individual organisations,
Catholic Relief Services,NGOs,
Caucasus Environmental NGO Network,NGOs,
Caucasus Environmental NGO Network ,NGOs,
CAUSE Canada,NGOs,
Cavish Development Foundation,NGOs,
CCD,NGOs,
Cchin HR Organization,other,
CCI Coin Co. InterNational,private sector corporations,
CDA Collaborative Learning Projects. Inc.,NGOs,
CDE - University Berne,academia/think/research,
CE & S,other,
Cedar Fund,private sector corporations,
CEDI,academia/think/research,
CEFA,private individual organisations,
Ceilu,other,
CEMUBAC (Belgian medical NGO),NGOs,
Centarl Regions Livestock Professional Association,private individual organisations,
Center for  Civil Military Relations,academia/think/research,
Center for Citizenship Education,foundations,
Center for Culture and Development,academia/think/research,
Center for Defending Freedom of Journalists,other,
Center for Disease Control and Prevention,academia/think/research,
Center for Human Rights and Democratic Participation,NGOs,
Center for Humanitarian Services,private individual organisations,
Center for International Studies and Cooperation,NGOs,
CENTER FOR JUSTICE AND INT. LAW,NGOs,
Center for Peace and Democracy,NGOs,
Center for Research on the Epidemiology of Disasters,academia/think/research,
Center for the Defence of the Individual,NGOs,
Center for Victims of Torture,NGOs,
Center of Excellence for Rural Development,NGOs,
Central African Red Cross,red cross,
Central African Red Cross Society,red cross,
Central African Republic,National government,
"Central Asian Free Exchange, USA",NGOs,
Central Community Chest of Japan,private individual organisations,
Central Ecuatoriana de Servicios Agricolas,foundations,
Central Emergency Response Fund,CERF,
Central Minnesota Community Foundation ,foundations,
Central Social,other,
Centre canadien d'étude et de coopération InterNationale (CECI),NGOs,
Centre d'action pour le dévéloppement,academia/think/research,
Centre d'Alerte et de Prevention des Conflits,other,
Centre De Crise,NGOs,
Centre de Développement Intégral (CDI/Yakoma),academia/think/research,
Centre de Promotion Socio-Sanitaire,NGOs,
"Centre de Recherche en Astronomie, Astrophysique et Geophysique",academia/think/research,
Centre de Recherche et d'Appui aux Initiatives de Développement Intégré,academia/think/research,
Centre de Recherche Santé,NGOs,
Centre de Réflexion Europe Afrique ,NGOs,
Centre d'Enseignement et de Recherche en Action Humanitaire,academia/think/research,
Centre for Civil and Political Rights,academia/think/research,
Centre for Common Ground in Angola (CCG),NGOs,
CENTRE FOR DEFENDING FREEDOM OF JOURNALISTS - CDFJ,NGOs,
Centre for Humanitarian Dialogue,private sector corporation,
Centre for InteNational Political Studies,academia/think/research,
Centre for InterNational Political Studies,academia/think/research,
Centre for InterNational Studies and Cooperation ,academia/think/research,
Centre for Peacekeeping and Community Development,academia/think/research,
Centre for Research on the Epidemiology of Disasters,academia/think/research,
Centre for Safety and Development,foundations,
Centre for the Coordination of Natural Disaster Prevention in Central America,Other multi,
Centre palestinien des droits de l'homme,NGOs,
Centre pour enfants des rues de Bel-Air,other,
Centre pour la Promotion de la Sante,academia/think/research,
Centre spécialisé d'appui à la promotion et à la modernisation de l'élévage,other,
Centro d'Informazione e Educazione allo Sviluppo,NGOs,
Centro Integral de Rehabilitación de Colombia,other,
Centrum voor Afrikaanse Cultuur,academia/think/research,
CESADEMA,other,
CEVA Logistics,private sector corporations,
CFD,other,
CHA - Coordination of Humanitarian Assistance,NGOs,
Chad ,National government,
Chad Red Cross,red cross,
Chadbourne & Parke LLP,private sector corporations,
Chaine du Bonheur,NGOs,
Chaîne du Bonheur,other,
CHAINES,other,
Chapman Freeborn Airchartering,private sector corporations,
Charitable Development Association,NGOs,
Charitable Society for Caring and Rehabilitation Iraqi Children,NGOs,
Charitable Society for Social Welfare,NGOs,
Charities Aid Foundation,NGOs,
Charity Palestinian NGO,NGOs,
Charles Schwab ,private sector corporations,
Charles Schwab Foundation,foundations,
Chars Livelihoods Programme,DAC governments,
CHASE OT,private sector corporations,
Checci & Company,private sector corporations,
Chemonics InterNational Inc.,private sector corporations,
Chevron Corporation,private sector corporations,
Chevron Texaco,private sector corporations,
CHF - ERF funds transfer,CHF,
CHF InterNational,NGOs,
CHF Sudan/South Sudan Funding,CHF,
Child Advocacy InterNational,NGOs,
Child Care Society,NGOs,
Child Development Foundation,foundations,
Child Rights Information Network,academia/think/research,
ChildFund InterNational,NGOs,
ChildFund Ireland,NGOs,
Children Assistance Programme ,NGOs,
Children InterNational,NGOs,
Children of Peru Foundation (New York),foundations,
Children without Borders,NGOs,
Children's Aid Direct,NGOs,
Children's Fund of North Ossetia,NGOs,
"Children's Global Network, Pakistan (Guarantee) Limited",private individual organisations,
Children's Home Society of Minnesota,NGOs,
Children's Investment Fund Foundation,foundations,
Children's Relief,NGOs,
Child's Earth Society in Iraq,NGOs,
Chile,National government,
Chile Red Cross,red cross,
Chilean Red Cross,red cross,
China,National government,
China Association for NGO Cooperation,other,
China Centre for Disease Control and  Asia-Australia Mental Health,other,
China Foundation for Poverty Alleviation,NGOs,
China Red Cross Society,red cross,
Chinese Community in Peru,other,
"CHMI, CTU/EPFL (Czech Hydrometeorological Institute)",DAC governments,
CHORA,other,
Chreso Ministries,private individual organisations,
Chrétiens pour le Sahel,NGOs,
Christian Aid,NGOs,
Christian Aid Ministries Nehemia,private individual organisations,
Christian Aid-UK,NGOs,
Christian Blind Mission,NGOs,
Christian Care,NGOs,
Christian Children's Fund ,NGOs,
Christian Children's Fund  / Adventis Development And Relief Agency,NGOs,
"Christian Children's Fund, USA",NGOs,
Christian Commission for Development in Bangladesh,NGOs,
Christian Friends of Korea,NGOs,
Christian Mission Aid,NGOs,
Christian Mission for Development,NGOs,
Christian Outreach Relief and Development,NGOs,
Christian Peacemaker Teams,private individual organisations,
Christian Recovery and Development Agency,NGOs,
Christian Reformed World Relief Committee,NGOs,
Christian Relief Network,NGOs,
Christian Solidarity International,NGOs,
Christoffel-Blindenmission,NGOs,
Christusträger Bruderschaft,private individual organisations,
Chrysler Foundation,foundations,
Chubb Corporation,private sector corporations,
"Chung Te Buddhist Association of NY, Inc.",private sector corporations,
Church of Jesus Christ (Johannesburg),private individual organisations,
Church of Sweden,private individual organisations,
Church of the Latter Day Saints,private individual organisations,
Church of the Living God InterNational,private individual organisations,
Church Women Solidarity for Supporting North Korea Children,private individual organisations,
Church World Service,NGOs,
CIAA,other,
CICERO,private sector corporations,
CIGNA,private sector corporations,
CIMIR- Fred Polk,other,
CINS -  Cooperazione Italiana Nord Sud,NGOs,
Circassian Charity Association,NGOs,
CISANET/CSCQBE/MEJN,NGOs,
Cisco Foundation,foundations,
Citi,private sector corporations,
Citigroup,private sector corporations,
CitiHope InterNational,NGOs,
Citizen's Commission for Human Development,NGOs,
"Citizens' Disaster Response Center, Inc",NGOs,
Citizens Network for Foreign Affairs,NGOs,
City of Ingolstadt,DAC governments,
City of Konstanz,DAC governments,
City of Munich (Germany),DAC governments,
Civi Development Organization,NGOs,
CIVIC,other,
CIVIC (Valid until August 2012),other,
Civic Assistance Committee,NGOs,
Clear Path International,NGOs,
Cleared Ground Demining Ltd.,NGOs,
Cleveland Foundation,foundations,
Clinton Bush Haiti Fund,private individual organisations,
Clinton Foundation,foundations,
Clinton Health Access Initiative,private individual organisations,
"?LOVEK V TÍSNI, O.P.S.",other,
Clowns without Borders,NGOs,
Cluster Munition Coalition,Other multi,
Cluster Munitions Conference,other,
CMS Ireland,NGOs,
Coach,other,
Coalition for InterNational Justice,NGOs,
Coalition for the InterNational Criminal Court,NGOs,
Coalition of Dutch NGOs,NGOs,
Coalition to Stop Use of Child Soldiers,NGOs,
Coastal Community Foundation of South Carolina,foundations,
Coca-Cola Company,private sector corporations,
CODEC,NGOs,
COFRA,foundations,
Cogeco Cable,private sector corporations,
Cognizant,private sector corporations,
