Donor,privatemoney,code,check,private?
Barbados Red Cross,no,#N/A,,
Barbados Red Cross Society,no,#N/A,,
Barclay's Foundation,private,#N/A,,
Barclays Ghana,private,#N/A,,
Barneombudet,no,#N/A,,
BASF,private,#N/A,,
Bashaer,no,#N/A,,
Basic Education and Employable Skill Training,no,#N/A,,
Basic Needs,no,#N/A,,
Baxter InterNational Foundation,private,#N/A,,
Bayer,private,#N/A,,
BBC World Service Trust,no,#N/A,,
BCIE,private,#N/A,,
BD,no,#N/A,,
BDC Anglican,private,#N/A,,
BDCD,no,#N/A,,
BDD BUKAVU,private,#N/A,,
BDD Kasongo,private,#N/A,,
Beaconhouse,no,#N/A,,
Bearing Point,private,#N/A,,
Bechtel,private,#N/A,,
"Becton, Dickson and Company",private,#N/A,,
Bel Avenir,no,#N/A,,
Belarus,no,#N/A,,
Belarus Red Cross,no,#N/A,,
Belarusian Red Cross,no,#N/A,,
Belgian Air Force,no,#N/A,,
Belgian First Aid and Support Team,no,#N/A,,
Belgian Red Cross,no,#N/A,,
Belgium,no,#N/A,,
Belgium Red Cross,no,#N/A,,
Belize,no,#N/A,,
Belize Red Cross,no,#N/A,,
Belize Red Cross Society,no,#N/A,,
Belun,no,#N/A,,
Benfica Foundation,private,#N/A,,
Benin,no,#N/A,,
Benposta Nación de Muchachos,no,#N/A,,
BEPROD,private,#N/A,,
Berkat,no,#N/A,,
Bernard van Leer Foundation,private,#N/A,,
Berne helps Lviv,no,#N/A,,
Berne University,no,#N/A,,
Bertelsmann AG,private,#N/A,,
Best Buy Children's Foundation,private,#N/A,,
"Best Buy Co., Inc. ",private,#N/A,,
BGR - German Federal Institute for Geosciences and Natural Resources ,no,#N/A,,
BHN Association -Telecom for Basic Human Needs,no,#N/A,,
Bhutan,no,#N/A,,
BID,private,#N/A,,
Bidan Kesehatan Department of Health Indonesia,no,#N/A,,
Bienvenu Refugee Shelter,no,#N/A,,
BIJOU Trust,private,#N/A,,
Bilateral (to affected government),no,#N/A,,
Bilkent Holding,private,#N/A,,
Bill and Melinda Gates Foundation,private,#N/A,,
Bill Emerson Humanitarian Trust,no,#N/A,,
Bioforce,private,#N/A,,
Biogen Idec,private,#N/A,,
Biomet Inc.,private,#N/A,,
Birdlife InterNational,no,#N/A,,
Bjerknes Centre for Climate Research,no,#N/A,,
blank,no,#N/A,,
BLD - Barne- og likestillingsdepartementet,no,#N/A,,
Blés du désert,no,#N/A,,
Bloomberg,private,#N/A,,
"Blue Cross and Blue Shield of Minnesota Foundation, Inc.",private,#N/A,,
BLU-MED Response Systems ,private,#N/A,,
BMaA,no,#N/A,,
BMI,private,#N/A,,
BMO Financial Group,private,#N/A,,
BMVg,no,#N/A,,
BMW Group,private,#N/A,,
BNPP,private,#N/A,,
Boeing Company,private,#N/A,,
BOLHISPANIA,private,#N/A,,
Bolivia,no,#N/A,,
Bolivia Red Cross,no,#N/A,,
Bolivian Red Cross,no,#N/A,,
Bolivian Red Cross,no,#N/A,,
Booz Allen Hamilton,private,#N/A,,
BorgWarner,private,#N/A,,
Bosnia & Herzegovina,no,#N/A,,
Bosnian Red Crescent Society,no,#N/A,,
Boston Archiepiscopal Diocese,private,#N/A,,
Boston Foundation,private,#N/A,,
Boston Foundation (Ansara Family Fund),private,#N/A,,
Botswana,no,#N/A,,
Botswana Red Cross,no,#N/A,,
Botswana Red Cross Society,no,#N/A,,
BP Foundation,private,#N/A,,
BRASCRI ,no,#N/A,,
Brazil,no,#N/A,,
Brazil Red Cross,no,#N/A,,
Brazilian Red Cross,no,#N/A,,
Bread for the World,no,#N/A,,
Bridderlech Deelen,private,#N/A,,
Bridgestone Group,private,#N/A,,
Bright Future Organization,no,#N/A,,
Bristol-Myers Squibb,private,#N/A,,
British Agencies Afghanistan Group,no,#N/A,,
British Airways,private,#N/A,,
British Council,no,#N/A,,
British Embassy in Khartoum (Sudan),no,#N/A,,
BRITISH ORG. FOR MEDICAL AND SCIENTIFIC ASSISTANCE,no,#N/A,,
British Red Cross,no,#N/A,,
British Red Cross Society,no,#N/A,,
British Virgin Islands,no,#N/A,,
Broadcasting Board of Governors,no,#N/A,,
Brookings Institute,no,#N/A,,
Brother Industries Ltd.,private,#N/A,,
Brotherhood Association humanity of Human Rights,private,#N/A,,
Brother's Brother Foundation,private,#N/A,,
Brunei Darussalam,no,#N/A,,
BTC,no,#N/A,,
B'Tselem - the Israeli Information Center for Human Rights in the Occupied Territories,no,#N/A,,
BUCO - Bureau de la Coopération Suisse,no,#N/A,,
BUCO - CRONGD,no,#N/A,,
Buco Cotonou,no,#N/A,,
Buddhist Compassion Relief Tzu Chi Foundation,private,#N/A,,
Buddist Committee of Concord Nation,private,#N/A,,
Build Change,no,#N/A,,
Build-A-Bear Workshop Foundation,private,#N/A,,
BUKKEHAVE,private,#N/A,,
Bulay Development Organization,no,#N/A,,
Bulgaria,no,#N/A,,
Bulgaria Red Cross,no,#N/A,,
Bulgarian Red Cross,no,#N/A,,
Bundesamt für Migration,private,#N/A,,
Bundesanstalt für Materialforschung und - prüfung,private,#N/A,,
Bundesanstalt Technisches Hilfswerk,no,#N/A,,
Bundesministerium der Verteidigung,no,#N/A,,
Bureau des Nations Unies en Centrafrique (United Nations Peace-Building Support Office in CAR),no,#N/A,,
Bureau des œuvres médicales diocésaines (BDOM),private,#N/A,,
Bureau Diocésain de Développement de Kindu (BDD/KINDU),no,#N/A,,
Bureau InterNational Catholique de l'Enfance,private,#N/A,,
Burger King,private,#N/A,,
Burkina Faso,no,#N/A,,
Burkina Faso Red Cross,no,#N/A,,
Burkinabe Red Cross Society,no,#N/A,,
Burma Austria Allianz,private,#N/A,,
Burnet Institute,no,#N/A,,
Burton D. Morgan Foundation,private,#N/A,,
Burundi,no,#N/A,,
Burundi Red Cross,no,#N/A,,
Burundikids e.V.,no,#N/A,,
Business & Human Rights Resource Centre,no,#N/A,,
Business and Professional Women Organization,no,#N/A,,
Business Roundtable,private,#N/A,,
Butterfly Onlus Foundation,private,#N/A,,
Buuck Family Foundation,private,#N/A,,
BWG/Changjang Water Resources Commission,no,#N/A,,
C & S Wholesale Grocers,private,#N/A,,
CAII - Creative Associates InterNational,private,#N/A,,
California Endowment,private,#N/A,,
Cambodia,no,#N/A,,
Cambodia Red Cross,no,#N/A,,
Cambodian Mine Action Centre,no,#N/A,,
Cambodian Red Cross,no,#N/A,,
Cameroon,no,#N/A,,
Cameroun,no,#N/A,,
Camp Dresser and McKee Incorporated,private,#N/A,,
Campagne Suisse Contre les Mines Antipersonnel,no,#N/A,,
Campana Colombiana Contra Minas,no,#N/A,,
Campbell Soup CO,private,#N/A,,
CAMPS/CELPA,private,CAMPS/CELPA,NGOs,no
CAN FOUNDATION ,private,#N/A,,
Canada,no,#N/A,,
Canada InterNational Demining Corps,no,#N/A,,
Canada Safeway Foundation,private,#N/A,,
CANADEM,no,#N/A,,
Canadian Baptist Ministries,private,#N/A,,
Canadian Catholic Organization for Development and Peace,no,#N/A,,
Canadian Coalition,no,#N/A,,
Canadian Development and Peace,no,#N/A,,
Canadian Food for the Hungry InterNational,no,#N/A,,
Canadian Food Grains Bank,no,#N/A,,
Canadian Funds for Local Initiatives,no,#N/A,,
Canadian Healthcare Association,private,#N/A,,
Canadian InterNational Development Agency/InterNational Humanitarian Assistance,no,#N/A,,
Canadian Journalist/Free Expr,no,#N/A,,
Canadian Journalists Free Expression,no,#N/A,,
Canadian Journalists Free Expression ,no,#N/A,,
Canadian National Railway Company,private,#N/A,,
Canadian Physicians for Aid and Relief,no,#N/A,,
Canadian Red Cross Society,no,#N/A,,
Canadian Relief Foundation,private,#N/A,,
Candle Light,no,#N/A,,
Canon Group,private,#N/A,,
Cape Verde Red Cross,no,#N/A,,
CARAES,no,#N/A,,
"Cardinal Health, Inc.  ",private,#N/A,,
CARE and SC/US,no,#N/A,,
CARE Australia,no,#N/A,,
CARE Austria,no,#N/A,,
CARE Canada,no,#N/A,,
Care Czech Republic,no,#N/A,,
CARE France,no,#N/A,,
Care Germany,no,#N/A,,
CARE InterNational,no,#N/A,,
CARE InterNational Switzerland in Sudan,no,#N/A,,
CARE Kenya,no,#N/A,,
CARE Myanmar,no,#N/A,,
CARE Nepal,no,#N/A,,
CARE Netherlands,no,#N/A,,
CARE Norway,no,#N/A,,
Care Peru,no,#N/A,,
CARE Somalia,no,#N/A,,
Care Sudan,no,#N/A,,
CARE USA,no,#N/A,,
CareFusion Corporation,no,#N/A,,
CareSource Foundation,private,#N/A,,
Carestream Health,private,#N/A,,
CARE-UK,no,#N/A,,
Cargill,private,#N/A,,
Caribbean Development Bank,no,#N/A,,
Caribbean Disaster Emergency Response Agency,no,#N/A,,
CARICOM Regional Development Programme,no,#N/A,,
CARITAS,no,#N/A,,
CARITAS / Catholic Relief Services,no,#N/A,,
CARITAS Allemagne (DCV),no,#N/A,,
Caritas Australia,no,#N/A,,
Caritas Austria,no,#N/A,,
CARITAS BUKAVU,no,#N/A,,
CARITAS BUNIA,no,#N/A,,
CARITAS BUTEMBO,no,#N/A,,
Caritas Congo,no,#N/A,,
Caritas Czech Republic,no,#N/A,,
Caritas Denmark,no,#N/A,,
CARITAS DEV GOMA,no,#N/A,,
Caritas Dev Kalemie,no,#N/A,,
Caritas Développement,no,#N/A,,
Caritas Développement DRC,no,#N/A,,
CARITAS DUNGU,no,#N/A,,
Caritas France,no,#N/A,,
Caritas Germany,no,#N/A,,
Caritas Germany (DCV),no,#N/A,,
Caritas Haiti,no,#N/A,,
Caritas Hong kong,no,#N/A,,
Caritas Hungary,no,#N/A,,
Caritas India,no,#N/A,,
CARITAS InterNationalIS,no,#N/A,,
Caritas Jerusalem,no,#N/A,,
Caritas Kananga,no,#N/A,,
Caritas Katanga,no,#N/A,,
CARITAS KINDU,no,#N/A,,
Caritas Lebanon Migrants Center,no,#N/A,,
Caritas Manila,no,#N/A,,
CARITAS Mbandaka,no,#N/A,,
CARITAS MBUJIMAYI,no,#N/A,,
Caritas New Zealand,no,#N/A,,
Caritas Norway,no,#N/A,,
Caritas Peru,no,#N/A,,
Caritas Spain,no,#N/A,,
Caritas Sweden,no,#N/A,,
Caritas Switzerland,no,#N/A,,
CARITAS TCHUMBE,no,#N/A,,
CARITAS UVIRA,no,#N/A,,
CARITAS UVIRA,no,#N/A,,
Caritas/MCC,no,#N/A,,
Carl Duisberg Gesellschaft,no,#N/A,,
Carlson Wagonlit Travel Beheermaatschappij,private,#N/A,,
Carnegie Corporation of New York,private,#N/A,,
Carnival Corporations,private,#N/A,,
Carry-over (donors not specified),no,#N/A,,
Casals and Associates,private,#N/A,,
Cascos Blancos - Argentina,no,#N/A,,
Casio,private,#N/A,,
Catalan Agency for Development Cooperation,no,#N/A,,
"Caterpillar, Inc.",private,#N/A,,
Catholic Agency for Overseas Development,no,#N/A,,
Catholic Church of Khartoum,private,#N/A,,
"Catholic Church, Germany",private,#N/A,,
Catholic Commisssion for Justice and Peace,no,#N/A,,
Catholic Development Commission,no,#N/A,,
Catholic Diocese of Erie,private,#N/A,,
Catholic Diocese of Kericho,private,#N/A,,
Catholic Diocese of Nakuru,private,#N/A,,
Catholic Diocese of Torit,private,#N/A,,
Catholic Medical Missons Board,no,#N/A,,
Catholic Migration Commission,no,#N/A,,
Catholic Mission,private,#N/A,,
Catholic Organisation for Relief and Development Aid,no,#N/A,,
Catholic Peace Movement,no,#N/A,,
Catholic Priest Association for Justice,private,#N/A,,
Catholic Relief Services,no,#N/A,,
Caucasus Environmental NGO Network,no,#N/A,,
Caucasus Environmental NGO Network ,no,#N/A,,
CAUSE Canada,no,#N/A,,
Cavish Development Foundation,no,#N/A,,
CCD,no,#N/A,,
CCD,no,#N/A,,
Cchin HR Organization,no,#N/A,,
CCI Coin Co. InterNational,private,#N/A,,
CDA Collaborative Learning Projects. Inc.,no,#N/A,,
CDE - University Berne,no,#N/A,,
CE & S,no,#N/A,,
Cedar Fund,private,#N/A,,
CEDI,no,#N/A,,
CEFA,private,#N/A,,
Ceilu,no,#N/A,,
CEMUBAC (Belgian medical NGO),no,#N/A,,
Centarl Regions Livestock Professional Association,private,#N/A,,
Centarl Regions Livestock Professional Association,private,#N/A,,
Center for  Civil Military Relations,no,#N/A,,
Center for Citizenship Education,private,#N/A,,
Center for Culture and Development,no,#N/A,,
Center for Defending Freedom of Journalists,no,#N/A,,
Center for Disease Control and Prevention,no,#N/A,,
Center for Human Rights and Democratic Participation,no,#N/A,,
Center for Humanitarian Services,private,#N/A,,
Center for International Studies and Cooperation,no,#N/A,,
CENTER FOR JUSTICE AND INT. LAW,no,#N/A,,
Center for Peace and Democracy,no,#N/A,,
Center for Research on the Epidemiology of Disasters,no,#N/A,,
Center for the Defence of the Individual,no,#N/A,,
Center for Victims of Torture,no,#N/A,,
Center of Excellence for Rural Development,no,#N/A,,
Central African Red Cross,no,#N/A,,
Central African Red Cross Society,no,#N/A,,
Central African Republic,no,#N/A,,
"Central Asian Free Exchange, USA",no,#N/A,,
Central Community Chest of Japan,private,#N/A,,
Central Ecuatoriana de Servicios Agricolas,private,#N/A,,
Central Emergency Response Fund,no,#N/A,,
Central Minnesota Community Foundation ,private,#N/A,,
Central Social,no,#N/A,,
Centre canadien d'étude et de coopération InterNationale (CECI),no,Centre canadien d'étude et de coopération InterNationale (CECI),NGOs,
Centre d'action pour le dévéloppement,no,#N/A,,
Centre d'Alerte et de Prevention des Conflits,no,#N/A,,
Centre De Crise,no,#N/A,,
Centre de Développement Intégral (CDI/Yakoma),no,#N/A,,
Centre de Promotion Socio-Sanitaire,no,Centre de Promotion Socio-Sanitaire,NGOs,
"Centre de Recherche en Astronomie, Astrophysique et Geophysique",no,#N/A,,
Centre de Recherche et d'Appui aux Initiatives de Développement Intégré,no,#N/A,,
Centre de Recherche Santé,no,#N/A,,
Centre de Réflexion Europe Afrique ,no,#N/A,,
Centre d'Enseignement et de Recherche en Action Humanitaire,no,#N/A,,
Centre for Civil and Political Rights,no,#N/A,,
Centre for Common Ground in Angola (CCG),no,#N/A,,
CENTRE FOR DEFENDING FREEDOM OF JOURNALISTS - CDFJ,no,#N/A,,
Centre for Humanitarian Dialogue,no,Centre for Humanitarian Dialogue,private sector corporation,private
Centre for InteNational Political Studies,no,#N/A,,
Centre for InterNational Political Studies,no,#N/A,,
Centre for InterNational Studies and Cooperation ,no,#N/A,,
Centre for Peacekeeping and Community Development,no,#N/A,,
Centre for Research on the Epidemiology of Disasters,no,#N/A,,
Centre for Safety and Development,private,#N/A,,
Centre for the Coordination of Natural Disaster Prevention in Central America,no,Centre for the Coordination of Natural Disaster Prevention in Central America,Other multi,
Centre palestinien des droits de l'homme,no,#N/A,,
Centre pour enfants des rues de Bel-Air,no,#N/A,,
Centre pour la Promotion de la Sante,no,#N/A,,
Centre spécialisé d'appui à la promotion et à la modernisation de l'élévage,no,#N/A,,
Centro d'Informazione e Educazione allo Sviluppo,no,#N/A,,
Centro Integral de Rehabilitación de Colombia,no,#N/A,,
Centrum voor Afrikaanse Cultuur,no,#N/A,,
CESADEMA,no,#N/A,,
CEVA Logistics,private,#N/A,,
CFD,no,#N/A,,
CHA - Coordination of Humanitarian Assistance,no,#N/A,,
Chad ,no,#N/A,,
Chad Red Cross,no,#N/A,,
Chadbourne & Parke LLP,private,#N/A,,
Chaine du Bonheur,no,#N/A,,
Chaîne du Bonheur,no,#N/A,,
CHAINES,no,#N/A,,
Chapman Freeborn Airchartering,private,#N/A,,
Charitable Development Association,no,#N/A,,
Charitable Society for Caring and Rehabilitation Iraqi Children,no,#N/A,,
Charitable Society for Social Welfare,no,#N/A,,
Charities Aid Foundation,no,#N/A,,
Charity Palestinian NGO,no,#N/A,,
Charles Schwab ,private,#N/A,,
Charles Schwab Foundation,private,#N/A,,
Chars Livelihoods Programme,no,#N/A,,
CHASE OT,private,#N/A,,
Checci & Company,private,#N/A,,
Chemonics InterNational Inc.,private,#N/A,,
Chevron Corporation,private,#N/A,,
Chevron Texaco,private,#N/A,,
CHF - ERF funds transfer,no,#N/A,,
CHF InterNational,no,#N/A,,
CHF Sudan/South Sudan Funding,no,#N/A,,
Child Advocacy InterNational,no,#N/A,,
Child Care Society,no,#N/A,,
Child Development Foundation,private,#N/A,,
Child Rights Information Network,no,#N/A,,
ChildFund InterNational,no,#N/A,,
ChildFund Ireland,no,#N/A,,
Children Assistance Programme ,no,#N/A,,
Children InterNational,no,#N/A,,
Children of Peru Foundation (New York),private,#N/A,,
Children without Borders,no,#N/A,,
Children's Aid Direct,no,#N/A,,
Children's Fund of North Ossetia,no,#N/A,,
"Children's Global Network, Pakistan (Guarantee) Limited",private,#N/A,,
Children's Home Society of Minnesota,no,#N/A,,
Children's Investment Fund Foundation,private,#N/A,,
Children's Relief,no,#N/A,,
Child's Earth Society in Iraq,no,#N/A,,
Chile,no,#N/A,,
Chile Red Cross,no,#N/A,,
Chilean Red Cross,no,#N/A,,
China,no,#N/A,,
China Association for NGO Cooperation,no,#N/A,,
China Centre for Disease Control and  Asia-Australia Mental Health,no,#N/A,,
China Foundation for Poverty Alleviation,no,#N/A,,
China Red Cross Society,no,#N/A,,
Chinese Community in Peru,no,#N/A,,
"CHMI, CTU/EPFL (Czech Hydrometeorological Institute)",no,#N/A,,
CHORA,no,#N/A,,
Chreso Ministries,private,#N/A,,
Chrétiens pour le Sahel,no,#N/A,,
Christian Aid,no,#N/A,,
Christian Aid Ministries Nehemia,private,#N/A,,
Christian Aid-UK,no,#N/A,,
Christian Blind Mission,no,#N/A,,
Christian Care,no,#N/A,,
Christian Children's Fund ,no,#N/A,,
Christian Children's Fund  / Adventis Development And Relief Agency,no,#N/A,,
"Christian Children's Fund, USA",no,#N/A,,
Christian Commission for Development in Bangladesh,no,#N/A,,
Christian Friends of Korea,no,#N/A,,
Christian Mission Aid,no,#N/A,,
Christian Mission for Development,no,#N/A,,
Christian Outreach Relief and Development,no,#N/A,,
Christian Peacemaker Teams,private,#N/A,,
Christian Recovery and Development Agency,no,#N/A,,
Christian Reformed World Relief Committee,no,#N/A,,
Christian Relief Network,no,#N/A,,
Christian Solidarity International,no,#N/A,,
Christoffel-Blindenmission,no,#N/A,,
Christusträger Bruderschaft,private,#N/A,,
Chrysler Foundation,private,#N/A,,
Chubb Corporation,private,#N/A,,
"Chung Te Buddhist Association of NY, Inc.",private,#N/A,,
Church of Jesus Christ (Johannesburg),private,#N/A,,
Church of Sweden,private,#N/A,,
Church of the Latter Day Saints,private,#N/A,,
Church of the Living God InterNational,private,#N/A,,
Church Women Solidarity for Supporting North Korea Children,private,#N/A,,
Church World Service,no,#N/A,,
CIAA,no,#N/A,,
CICERO,private,#N/A,,
CIGNA,private,#N/A,,
CIMIR- Fred Polk,no,#N/A,,
CINS -  Cooperazione Italiana Nord Sud,no,#N/A,,
Circassian Charity Association,no,Circassian Charity Association,NGOs,
CISANET/CSCQBE/MEJN,no,#N/A,,
Cisco Foundation,private,#N/A,,
Citi,private,#N/A,,
Citigroup,private,#N/A,,
CitiHope InterNational,no,#N/A,,
Citizen's Commission for Human Development,no,#N/A,,
"Citizens' Disaster Response Center, Inc",no,#N/A,,
Citizens Network for Foreign Affairs,no,#N/A,,
City of Ingolstadt,no,#N/A,,
City of Konstanz,no,#N/A,,
City of Munich (Germany),no,#N/A,,
City of Munich (Germany),no,#N/A,,
City of Munich (Germany),no,#N/A,,
Civi Development Organization,no,#N/A,,
CIVIC,no,#N/A,,
CIVIC (Valid until August 2012),no,#N/A,,
Civic Assistance Committee,no,#N/A,,
Clear Path International,no,#N/A,,
Cleared Ground Demining Ltd.,no,#N/A,,
Cleveland Foundation,private,#N/A,,
Clinton Bush Haiti Fund,private,#N/A,,
Clinton Foundation,private,#N/A,,
Clinton Health Access Initiative,private,#N/A,,
"?LOVEK V TÍSNI, O.P.S.",no,#N/A,,
Clowns without Borders,no,#N/A,,
Cluster Munition Coalition,no,#N/A,,
Cluster Munitions Conference,no,#N/A,,
CMS Ireland,no,#N/A,,
Coach,no,#N/A,,
Coalition for InterNational Justice,no,#N/A,,
Coalition for the InterNational Criminal Court,no,#N/A,,
Coalition of Dutch NGOs,no,#N/A,,
Coalition to Stop Use of Child Soldiers,no,#N/A,,
Coastal Community Foundation of South Carolina,private,#N/A,,
Coca-Cola Company,private,#N/A,,
CODEC,no,#N/A,,
COFRA,private,#N/A,,
Cogeco Cable,private,#N/A,,
Cognizant,private,#N/A,,
Coin Co. InterNational,private,#N/A,,
Collaborative for Development Action,no,#N/A,,
Collectif Asie Enfants Isolés,private,#N/A,,
Collectif du developpement et du secours syrien,no,#N/A,,
Collectif Haïti de France,no,#N/A,,
College Suisse/Fondation S.O.S,no,#N/A,,
Collegio Universitario Aspirante e Medici Missionari,no,Collegio Universitario Aspirante e Medici Missionari,NGOs,
Colombia,no,#N/A,,
Colombia Campaign to Ban Landmines,no,#N/A,,
Colombia Red Cross,no,#N/A,,
Colombian Red Cross Society,no,#N/A,,
Colombiana Contra Minas,no,#N/A,,
Coloplast A/S,private,#N/A,,
Comcast Corp,private,#N/A,,
Comision de Derechos Humanos,no,#N/A,,
Comision Espanôla de Ayuda al Refugiado,no,#N/A,,
Comitato Collaborazione Medica,no,#N/A,,
Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,no,#N/A,,
Comitato InterNationale per lo Sviluppo dei Popoli,no,#N/A,,
