indicator,year,region,n,value
Drinking.Limited,2000,Central America,8,1
Drinking.Surface water,2000,Central America,8,3
Drinking.Unimproved,2000,Central America,8,8
Drinking.Safely managed,2000,Central America,4,42
Drinking.Basic,2010,Central America,8,54
Drinking.Limited,2010,Central America,8,1
Drinking.Surface water,2010,Central America,8,2
Drinking.Unimproved,2010,Central America,8,4
Drinking.Safely managed,2010,Central America,4,45
Drinking.Basic,2015,Central America,8,55
Drinking.Limited,2015,Central America,8,1
Drinking.Surface water,2015,Central America,8,1
Drinking.Unimproved,2015,Central America,8,2
Drinking.Safely managed,2015,Central America,4,47
Sanitation.Basic,2000,Central America,8,60
Sanitation.Limited,2000,Central America,8,6
Sanitation.Safely managed,2000,Central America,1,19
Sanitation.Unimproved,2000,Central America,8,9
Sanitation.Open defecation,2000,Central America,8,11
Sanitation.Basic,2010,Central America,8,56
Sanitation.Limited,2010,Central America,8,7
Sanitation.Safely managed,2010,Central America,1,36
Sanitation.Unimproved,2010,Central America,8,6
Sanitation.Open defecation,2010,Central America,8,5
Sanitation.Basic,2015,Central America,8,53
Sanitation.Limited,2015,Central America,8,7
Sanitation.Safely managed,2015,Central America,1,45
Sanitation.Unimproved,2015,Central America,8,4
Sanitation.Open defecation,2015,Central America,8,3
Agriculture,1990,Central America,6,4
Education,1990,Central America,6,16
Health,1990,Central America,6,3
Social protection,1990,Central America,6,2
Agriculture,2000,Central America,5,3
Education,2000,Central America,5,28
Health,2000,Central America,5,6
Social protection,2000,Central America,5,3
Agriculture,2010,Central America,5,2
Education,2010,Central America,0,
Health,2010,Central America,0,
Social protection,2010,Central America,0,
Agriculture,2012,Central America,0,
Education,2012,Central America,0,
Health,2012,Central America,0,
Social protection,2012,Central America,0,
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Central America,8,Many/full provisions in law
Extent of Constitutional Right to Food,2003,Central America,7,High
Maternity protection (Convention 183),2011,Central America,8,Partial
Wheat fortification legislation ,2015,Central America,8,Mandatory
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Central America,8,No
Bringing people into a shared space for action (%),2017,Central America,,
Ensuring a coherent policy and legal framework (%),2017,Central America,,
Aligning actions around a common results framework (%),2017,Central America,,
Financial tracking and resource mobilization (%),2017,Central America,,
Total weighed score (%),2017,Central America,,
Total population (000),2017,Central Asia,5,70840
Under-5 population (000),2017,Central Asia,5,7814
Urban population (%),2017,Central Asia,5,41
>65 population (%),2017,Central Asia,5,5
Under-5 mortality rate (deaths per 1000 live births),2015,Central Asia,5,33
GDP per capita (PPP),2016,Central Asia,5,10640
Poverty rates $1.90,2000-2013,Central Asia,5,36
Poverty rates $3.10,2000-2013,Central Asia,5,56
Stunting (millions),2016,Central Asia,5,1
Wasting (millions),2016,Central Asia,5,0.3
Overweight (millions),2016,Central Asia,5,1
Stunting (%),2016,Central Asia,5,13
Wasting (%),2016,Central Asia,5,4
Overweight (%),2016,Central Asia,5,10.7
Severe wasting (%),2016,Central Asia,5,1
Low birth weight (%),2000-2012,Central Asia,5,6
Adolescent overweight (%),2003-2014,Central Asia,0,
Adolescent obesity (%),2003-2014,Central Asia,0,
"Women of reproductive age, thinness (%)",1994-2015,Central Asia,5,9
"Women of reproductive age, short stature (%)",1994-2015,Central Asia,5,1
Women of reproductive age with anaemia (000),2016,Central Asia,5,6172
Women of reproductive age with anaemia (%),2016,Central Asia,5,34
Vitamin A deficiency in children 6-59 months (%),2013,Central Asia,5,16
Population classification of iodine status,1996-2001,Central Asia,4,Moderate iodine deficiency
"Raised blood pressure, Male (%)",2015,Central Asia,5,28
"Raised blood pressure, Female (%)",2015,Central Asia,5,25
"Raised blood glucose, Male (%)",2014,Central Asia,5,11
"Raised blood glucose, Female (%)",2014,Central Asia,5,11
"Raised blood cholesterol, Male (%)",2008,Central Asia,5,30
"Raised blood cholesterold, Female (%)",2008,Central Asia,5,33
"Adult overweight and obesity, Male (%)",2014,Central Asia,5,50
"Adult overweight and obesity, Female (%)",2014,Central Asia,5,51
"Adult obesity, Male (%)",2014,Central Asia,5,15
"Adult obesity, Female (%)",2014,Central Asia,5,20
Stunting.No progress or worsening,2017,Central Asia,,0
Stunting.On course,2017,Central Asia,,2
Stunting.Some progress,2017,Central Asia,,0
Stunting.Insufficient data to make assessment,2017,Central Asia,,3
Wasting.No progress or worsening,2017,Central Asia,,0
Wasting.On course,2017,Central Asia,,3
Wasting.Some progress,2017,Central Asia,,0
Wasting.Insufficient data to make assessment,2017,Central Asia,,2
Overweight.Off course,2017,Central Asia,,1
Overweight.On course,2017,Central Asia,,1
Overweight.Insufficient data to make assessment,2017,Central Asia,,3
Anaemia.No progress or worsening,2017,Central Asia,,3
Anaemia.On course,2017,Central Asia,,
Anaemia.Some progress,2017,Central Asia,,2
Anaemia.Insufficient data to make assessment,2017,Central Asia,,0
EBF.No progress or worsening,2017,Central Asia,,1
EBF.On course,2017,Central Asia,,0
EBF.Some progress,2017,Central Asia,,0
EBF.Insufficient data to make assessment,2017,Central Asia,,4
"Adult obesity, female.Insufficient data to make assessment",2017,Central Asia,,0
"Adult obesity, female.Off course",2017,Central Asia,,5
"Adult obesity, female.On course",2017,Central Asia,,
"Adult obesity, male.Insufficient data to make assessment",2017,Central Asia,,0
"Adult obesity, male.Off course",2017,Central Asia,,5
"Adult obesity, male.On course",2017,Central Asia,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Central Asia,,0
"Adult diabetes, female.Off course",2017,Central Asia,,5
"Adult diabetes, female.On course",2017,Central Asia,,0
Adult diabetes male.Insufficient data to make assessment,2017,Central Asia,,0
Adult diabetes male.Off course,2017,Central Asia,,5
Adult diabetes male.On course,2017,Central Asia,,0
Antenatal care (4+ visits),2003-2016,Central Asia,4,86
Skilled attendant at birth,1998-2016,Central Asia,5,99
Initiation of breastfeeding within 1 hour after birth,2003-2016,Central Asia,5,71
Continued breastfeeding at 1 year,1995-2016,Central Asia,5,71
Unmet need for family planning,1993-2016,Central Asia,0,
"Severe acute malnutrition, geographic coverage",2012,Central Asia,0,
"Vitamin A supplementation, full coverage",2014,Central Asia,2,99
Children under 5 with diarrhoea receiving ORS,2000-2016,Central Asia,5,42
Immunization coverage (DTP3),2016,Central Asia,5,94
Iodized salt consumption,2000-2013,Central Asia,5,63
Exclusive breastfeeding 0-5 months (%),1999-2015,Central Asia,5,29
Minimum acceptable diet 6-23 months (%),2010-2016,Central Asia,0,
Minimum dietary diversity 6-23 months (%),2010-2016,Central Asia,4,62
Undernourishment (%),1990,Central Asia,0,
Undernourishment (%),1999,Central Asia,4,16
Undernourishment (%),2009,Central Asia,3,14
Undernourishment (%),2014,Central Asia,0,
Fruit and veg (grams),1990,Central Asia,0,
Fruit and veg (grams),2000,Central Asia,5,350
Fruit and veg (grams),2010,Central Asia,5,675
Fruit and veg (grams),2013,Central Asia,5,818
Non-staples (%),1990,Central Asia,5,40
Non-staples (%),1999,Central Asia,5,40
Non-staples (%),2008,Central Asia,5,47
Non-staples (%),2011,Central Asia,0,
Early childbearing: births by age 18 (%),2001-2015,Central Asia,5,2
Gender Inequality Index (score),2015,Central Asia,4,0.278
Female secondary education enrolment rate,2006-2012,Central Asia,4,95
Physicians,1998-2015,Central Asia,5,2.506
Nurses and midwives,1994-2015,Central Asia,5,8.775
Community health workers,1992-2013,Central Asia,0,
Drinking.Basic,2000,Central Asia,5,44
Drinking.Limited,2000,Central Asia,5,5
Drinking.Surface water,2000,Central Asia,5,9
Drinking.Unimproved,2000,Central Asia,5,5
Drinking.Safely managed,2000,Central Asia,4,50
Drinking.Basic,2010,Central Asia,5,48
Drinking.Limited,2010,Central Asia,5,5
Drinking.Surface water,2010,Central Asia,5,5
Drinking.Unimproved,2010,Central Asia,5,2
Drinking.Safely managed,2010,Central Asia,4,54
Drinking.Basic,2015,Central Asia,4,53
Drinking.Limited,2015,Central Asia,4,5
Drinking.Surface water,2015,Central Asia,4,6
Drinking.Unimproved,2015,Central Asia,4,3
Drinking.Safely managed,2015,Central Asia,0,
Sanitation.Basic,2000,Central Asia,5,92
Sanitation.Limited,2000,Central Asia,5,1
Sanitation.Safely managed,2000,Central Asia,0,
Sanitation.Unimproved,2000,Central Asia,5,6
Sanitation.Open defecation,2000,Central Asia,5,0
Sanitation.Basic,2010,Central Asia,5,98
Sanitation.Limited,2010,Central Asia,5,1
Sanitation.Safely managed,2010,Central Asia,0,
Sanitation.Unimproved,2010,Central Asia,5,1
Sanitation.Open defecation,2010,Central Asia,5,0
Sanitation.Basic,2015,Central Asia,5,98
Sanitation.Limited,2015,Central Asia,5,1
Sanitation.Safely managed,2015,Central Asia,0,
Sanitation.Unimproved,2015,Central Asia,5,0
Sanitation.Open defecation,2015,Central Asia,5,0
Agriculture,1990,Central Asia,,
Education,1990,Central Asia,,
Health,1990,Central Asia,,
Social protection,1990,Central Asia,,
Agriculture,2000,Central Asia,,
Education,2000,Central Asia,,
Health,2000,Central Asia,,
Social protection,2000,Central Asia,,
Agriculture,2010,Central Asia,,
Education,2010,Central Asia,,
Health,2010,Central Asia,,
Social protection,2010,Central Asia,,
Agriculture,2012,Central Asia,,
Education,2012,Central Asia,,
Health,2012,Central Asia,,
Social protection,2012,Central Asia,,
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Central Asia,5,Many provisions in law
Extent of Constitutional Right to Food,2003,Central Asia,5,Medium
Maternity protection (Convention 183),2011,Central Asia,4,Yes
Wheat fortification legislation ,2015,Central Asia,5,Planning
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Central Asia,5,Yes
Bringing people into a shared space for action (%),2017,Central Asia,,
Ensuring a coherent policy and legal framework (%),2017,Central Asia,,
Aligning actions around a common results framework (%),2017,Central Asia,,
Financial tracking and resource mobilization (%),2017,Central Asia,,
Total weighed score (%),2017,Central Asia,,
Total population (000),2017,Eastern Africa,18,420907
Under-5 population (000),2017,Eastern Africa,18,66906
Urban population (%),2017,Eastern Africa,18,26
>65 population (%),2017,Eastern Africa,18,3
Under-5 mortality rate (deaths per 1000 live births),2015,Eastern Africa,18,61
GDP per capita (PPP),2016,Eastern Africa,14,2002
Poverty rates $1.90,2000-2013,Eastern Africa,13,49
Poverty rates $3.10,2000-2013,Eastern Africa,13,75
Stunting (millions),2016,Eastern Africa,17,24
Wasting (millions),2016,Eastern Africa,17,4
Overweight (millions),2016,Eastern Africa,17,3
Stunting (%),2016,Eastern Africa,17,37
Wasting (%),2016,Eastern Africa,17,7
Overweight (%),2016,Eastern Africa,17,4.7
Severe wasting (%),2016,Eastern Africa,16,2
Low birth weight (%),2000-2012,Eastern Africa,15,14
Adolescent overweight (%),2003-2014,Eastern Africa,0,
Adolescent obesity (%),2003-2014,Eastern Africa,0,
"Women of reproductive age, thinness (%)",1994-2015,Eastern Africa,13,16
"Women of reproductive age, short stature (%)",1994-2015,Eastern Africa,13,3
Women of reproductive age with anaemia (000),2016,Eastern Africa,18,30054
Women of reproductive age with anaemia (%),2016,Eastern Africa,18,31
Vitamin A deficiency in children 6-59 months (%),2013,Eastern Africa,17,48
Population classification of iodine status,1996-2001,Eastern Africa,10,Mild iodine deficience
"Raised blood pressure, Male (%)",2015,Eastern Africa,17,28
"Raised blood pressure, Female (%)",2015,Eastern Africa,17,29
"Raised blood glucose, Male (%)",2014,Eastern Africa,17,6
"Raised blood glucose, Female (%)",2014,Eastern Africa,17,6
"Raised blood cholesterol, Male (%)",2008,Eastern Africa,17,23
"Raised blood cholesterold, Female (%)",2008,Eastern Africa,17,25
"Adult overweight and obesity, Male (%)",2014,Eastern Africa,17,13
"Adult overweight and obesity, Female (%)",2014,Eastern Africa,17,29
"Adult obesity, Male (%)",2014,Eastern Africa,17,2
"Adult obesity, Female (%)",2014,Eastern Africa,17,9
Stunting.No progress or worsening,2017,Eastern Africa,,0
Stunting.On course,2017,Eastern Africa,,1
Stunting.Some progress,2017,Eastern Africa,,5
Stunting.Insufficient data to make assessment,2017,Eastern Africa,,12
Wasting.No progress or worsening,2017,Eastern Africa,,1
Wasting.On course,2017,Eastern Africa,,5
Wasting.Some progress,2017,Eastern Africa,,0
Wasting.Insufficient data to make assessment,2017,Eastern Africa,,12
Overweight.Off course,2017,Eastern Africa,,2
Overweight.On course,2017,Eastern Africa,,4
Overweight.Insufficient data to make assessment,2017,Eastern Africa,,12
Anaemia.No progress or worsening,2017,Eastern Africa,,12
Anaemia.On course,2017,Eastern Africa,,
Anaemia.Some progress,2017,Eastern Africa,,6
Anaemia.Insufficient data to make assessment,2017,Eastern Africa,,0
EBF.No progress or worsening,2017,Eastern Africa,,2
EBF.On course,2017,Eastern Africa,,4
EBF.Some progress,2017,Eastern Africa,,2
EBF.Insufficient data to make assessment,2017,Eastern Africa,,10
"Adult obesity, female.Insufficient data to make assessment",2017,Eastern Africa,,1
"Adult obesity, female.Off course",2017,Eastern Africa,,17
"Adult obesity, female.On course",2017,Eastern Africa,,
"Adult obesity, male.Insufficient data to make assessment",2017,Eastern Africa,,1
"Adult obesity, male.Off course",2017,Eastern Africa,,17
"Adult obesity, male.On course",2017,Eastern Africa,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Eastern Africa,,1
"Adult diabetes, female.Off course",2017,Eastern Africa,,17
"Adult diabetes, female.On course",2017,Eastern Africa,,0
Adult diabetes male.Insufficient data to make assessment,2017,Eastern Africa,,1
Adult diabetes male.Off course,2017,Eastern Africa,,17
Adult diabetes male.On course,2017,Eastern Africa,,0
Antenatal care (4+ visits),2003-2016,Eastern Africa,16,45
Skilled attendant at birth,1998-2016,Eastern Africa,18,49
Initiation of breastfeeding within 1 hour after birth,2003-2016,Eastern Africa,16,58
Continued breastfeeding at 1 year,1995-2016,Eastern Africa,16,90
Unmet need for family planning,1993-2016,Eastern Africa,14,22
"Severe acute malnutrition, geographic coverage",2012,Eastern Africa,12,60
